*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
TV	TV	TV	TV	TV	TV	TV	TV		TV	TV	Telekas/TV	TV	TV	TV	电视	電視	TV	Телевизор	Televizyon	Tv	Телевизор	Телевізор	TV	TV	TV	テレビ	TV	تلفزيون	теледидар	TV	TV	टीवी	TV	TV	ტელევიზორი	Televizors	TV	Τηλεόραση	тэлевізар	TV	TV	تلویزیون
CRT Monitor	CRT Monitor	CRT Monitor	CRT Monitor	Monitor CRT	Monitor CRT	Monitor CRT	CRT Monitor		Monitor CRT	Monitor CRT	CRT Monitor	Moniteur CRT	Moniteur CRT	브라운관 모니터	CRT显示器	CRT顯示器	CRT monitor	ЭЛТ монитор	CRT Monitör	Crt näyttö	CRT монитор	ЕПТ монітор	CRT Monitor	Monitor CRT	Monitor CRT	CRTモニター	CRT Monitorius	شاشة CRT	CRT мониторы	CRT-skjerm	CRT Monitor	सीआरटी मॉनि टर	จอภาพ CRT	CRT Monitor	CTR მონიტორი	CRT Monitors	Màn Hình CRT	Οθόνη CRT	ЭПТ-манітор	CRT Monitor	CRT skärm	صفحه نمایش CRT
Laptop	Laptop	Laptop	Laptop	Laptop	Leptop	Laptop	Laptop		Notebook	Portátil	Sülearvuti	Laptop	PC Portable	노트북	笔记本电脑	筆記本電腦	Laptop	Ноутбук	Dizüstü bilgisayar	Läppäri	Лаптоп	Ноутбук	Laptop	Portàtil	Portatile	ラップトップ	Nešiojamasis kompiuteris	حاسوب محمول	Ноутбук	Laptop	Laptop	लपै टॉप	แล็ปท็อป	laptop	ლეპტოპი	Portatīvais Dators	Máy Tính Xách Tay	Φορητός Υπολογιστής	Ноўтбук	Laptop	Laptop	لپ تاپ
Mouse	Mouse	Egér	Muis	Mouse	Maus	Myszka	Myš		Mouse	Rato	Hiir	Souris	Souris	마우스	鼠标	鼠標	Miš	Мышь	Fare	Hiiri	Мишка	Миша	Maus	Ratolí	Mouse	マウス	Pelė	فأر	Тышқан	Mus	Mouse	चहूा	เมาส์	mouse	მაუსი	Pele	Chuột	Ποντίκι	Мышка	Myš	Mus	ماوس
Used to power components wirelessly	Used to power components wirelessly	Használatával alkatrészeket üzemeltethetsz vezeték nélkül	Wordt gebruikt om componenten draadloos van stroom te voorzien	Se utiliza para alimentar componentes de forma inalámbrica	Folosit pentru alimentarea componentelor fără fir	Używany do bezprzewodowego zasilania	Použitý k napájení komponentů bezdrátově		Usado para abastecer componentes sem fio	Usado para abastecer componentes sem fio	Kasutatakse komponentide juhtmevabaks toiteks	Utilisé pour alimenter les composants sans aucun fil	Utilisé pour alimenter les composants sans aucun fil	근처에 가져가면 LED를 켤 수 있음	用于为组件无线供电	用於為組件無線供電	Koristi se za bežično napajanje komponenti	Используется для беспроводного питания компонентов	Bileşenlere kablosuz güç iletmeyi salar	käytetään komponenttien langattomaan virtalähteeseen	Използва се за безжично захранване на компоненти	Використовується для безпровідного живлення компонентів	Wird für die Drahtlose Stromversorgung verwendet.	S'utilitza per a la font d'alimentació sense fil.	Utilizzabile per alimentare componenti senza fili	コンポーネントにワイヤレスで電力を供給するために使用されます	Naudojamas komponentams maitinti belaidžiu būdu	تستخدم للمكونات لاسلكيًا	Құрамдас бөліктерді сымсыз қуаттандыру үшін қолданылады	Brukt til å forsyne komponenter trådløst	Ginagamit upang paganahin ang mga bahagi nang wireless	वायरलेस तरीके सेघटकों को बि जली देनेके लि ए उपयोग कि या जाता है	ใช้สำหรับจ่ายไฟให้กับส่วนประกอบแบบไร้สาย	Digunakan untuk menyalakan komponen secara nirkabel	გამოიყენება უკაბელო ელ. ენერგიისთვის	Izmantots komponentu barošanai bez vadiem	Được sử dụng để cấp nguồn cho các thành phần không dây	Χρησιμοποιείται για την ασύρματη τροφοδοσία εξαρτημάτων	Выкарыстоўваецца для бесправаднога харчавання кампанентаў	Používa sa na napájanie komponentov bezdrôtovo	Används för att ge ström till delar trådlöst	برای برق دادن به قطعات به صورت بی سیم
Crate	Crate	Kosár	Krat	Caja	Ladă	Skrzynia	Krabice		Caixa	Caixa	Kast	Caisse	Caisse	상자	箱子	箱子	Sanduk	Ящик	kasa	Laatikko	Щайга	Ящик	Kiste	Caixa	Cassa	クレート	Dėžė	قفص	Қорап	Kasse	Crate	टोकरा	ลัง	peti	Crate	Kaste	Thùng	Κιβώτιο	Скрыня	Krabica	låda	جعبه
Limited Time	Limited Time	Korlátozott idő	Beperkte tijd	Tiempo limitado	Timp Limitat	Limitowany czas	Limitovaný čas		Tempo Limitado	Tempo Limitado	Piiratud Aeg	Temps Limité	Temps Limité	기간 한정 판매	时间有限	時間有限	Ograničeno vreme	Ограниченное время	Sınırlı zaman	Vain rajoitetun ajan	Ограничено време	Обмежений час	Begrenzte Zeit	Temps limitat	Tempo Limite	期間限定	Ribotas laikas	وقت محدود	Шектеулі уақыт	Begrenset tid	Limitadong oras	सीमि त समय	จำกัดเวลา	waktu terbatas	ლიმინტური დრო	Limitēts Laiks	Giới Hạn Thời Gian	Περιορισμένος Χρόνος	Абмежаваны час	Obmedzený čas	Begränsad tid	زمان محدود است
Case Fan	Case Fan	Gépház hűtő	Case Ventilator	Ventilador de caja	Ventilator de Carcasă	Wiatrak do obudowy	Větrák bedny		Fan	Fan	korpuse ventilatsioon	Ventilateur de case	Ventilateur de Boîtier	케이스 팬	机箱风扇	機箱風扇	Hladnjak kućišta	Корпусный вентилятор	Kasa fanı	Kotelon tuuletin	Вентилатор за кутия	Корпусний вентилятор	Gehäuse Lüfter	Ventilador de caixa	Ventola Case	ケースファン	Korpuso Ventiliatorius	مروحة القضية	Корпус желдеткіші	Kabinettvifte	Tagahanga ng kaso	केस फैन	พัดลมเคส	Case Fan	ქეისის ფენი	Korpusa Ventilators	Quạt Tản Nhiệt	Aνεμιστήρας θήκης	Корпусны вентылятар	Vetrák na bedňu	Chassi fläkt	خنک کننده کیس
Case Fan (RGB)	Case Fan (RGB)	Gépház hűtő (RGB)	Case Ventilator (RGB)	Ventilador de caja (RGB)	Ventilator de Carcasă (RGB)	Wiatrak do obudowy (RGB)	Větrák bedny (RGB)		Fan (RGB)	Fan (RGB)	korpuse ventilatsioon (RGB)	Ventilateur de case (RVB)	Ventilateur de Boîtier (RVB)	LED 케이스 팬	机箱风扇（彩色）	機箱風扇（彩色）	Hladnjak kućišta (RGB)	Корпусный вентилятор (RGB)	Kasa fanı (Renkli)	RGB kotelo tuuletin	Вентилатор за кутия (RGB)	Корпусний вентилятор (RGB)	Gehäuse Lüfter (RGB)	Ventilador de caixa (RGB)	Ventola Case (RGB)	ケースファン（RGB）	Korpuso Ventiliatorius (RGB)	مروحة القضية (RGB)	Корпус желдеткіші (RGB)	Kabinettvifte (RGB)	Tagahanga ng Case (RGB)	केस फैन (RGB)	พัดลมเคส (RGB)	Case Fan (RGB)	ქეისის RGB ფენი	Korpusa Ventilators (RGB)	Quạt Tản Nhiệt (RGB)	Aνεμιστήρας θήκης (RGB)	Корпусны вентылятар (RGB)	Vetrák na bedň (RGB)	Chassi fläkt (RGB)	خنک کننده رنگی کیس
Light Panel	Light Panel	Light Panel	Licht paneel	Panel de luz	Panou de Lumina	Panel świetlny	Světelný panel		Painel de Luz	Painel de Luz	ValgusePaneel	Panneau Lumineux	Panneau Lumineux	조명 패널	奇光板	奇光板	Svetlosni panel	Светящаяся панель	Işık paneli	Valo paneeli	Светещ Панел	Світлова панель	LED Wand Panel	Panell de llums	Pannello Luminoso	ライトパネル	Šviesos skydelis	لوحة ضوء	Жарық панелі	Lyspanel	Banayad na panel	लाइट पनै ल	แผงไฟ	Panel Cahaya	ნათების პანელი	Gaismas Panelis	Bảng Đèn Led	Φωτιστικό πάνελ	Светлавая панэль	Svetelný panel	Ljus panel	پنل نور
Clock	Clock	Óra	Klok	Reloj	ceas	Zegar	Hodiny		Relógio	Relógio	Kell	Horloge	Horloge	시계	时钟	時鐘	Sat	Часы	Saat	Kello	Часовник	Годинник	Uhr	Rellotge	Orologio	時計	Laikrodis	ساعة	Сағат	Klokke	orasan	घड़ी	นาฬิกา	jam	საათი	Pulkstenis	Đồng Hồ	Ρολόι	Гадзіннік	Hodiny	Klocka	ساعت
Rain	Rain	Eső	Regen	LLuvia	Ploaie	Deszcz	Déšť		Chuva	Chuva	Vihm	Pluie	Pluie	비	雨	雨	Kiša	Дождь	Yağmur	Sade	Дъжд	Дощ	Regen	Pluja	Pioggia	雨	Lietus	مطر	Жаңбыр	Regn	ulan	वर्षा	ฝน	hujan	წვიმა	Lietus	Mưa	Βροχή	Дождж	Dážď	Regn	باران
File Manager	File Manager	Fájlkezelő	Bestandsbeheer	Explorador de archivos	Manager de fișiere	Menedżer plików	Průzkumník souborů		Explorador de Arquivos	Explorador de Ficheiros	FailiHaldur	Gestionnaire de fichiers	Gestionnaire de fichiers	파일 탐색기	文件管理器	文件管理器	Menadžer fajlova	Проводник	Dosya düzenleyicisi	Tiedoston hallinta	Файлов мениджър	Файловий менеджер	Dateimanager	Gestor d'arxius	Gestore File	ファイル管理	Failų Tvarkytojas	مدير الملفات	Файл менеджері	Filbehandler	Tagapamahala ng file	फ़ाइल प्रबधं क	ตัวจัดการไฟล์	file manager	ფაილების მენეჯერი	Failu Pārvaldība	Quản Lý Tập Tin	Διαχειριστής Αρχείων	Файлавы менеджэр	Správca súborov	Fil hanterare	مدیریت فایل
Cut	Cut	Kivágás	Snijden	Cortar	Taie	Wytnij	Střihnout		Cortar	Cortar	Lõika	Couper	Couper	잘라내기	剪切	剪切	Iseci	Вырезать	Kes	Leikkaa	Изрежи	Вирізати	Ausschneiden	Talla	Taglia	カット	Iškirpti	قطع	Кесу	Klipp	Putulin	कट गया	ตัด	potong	ამოჭრა	Griezt	Cắt	Κόψιμο	Выразаць	Vystrihnúť	Skär	انتقال
Copy	Copy	Másolás	Kopiëren	Copiar	Copiaza	Kopiuj	Kopírovat		Copiar	Copiar	Kopeeri	Copier	Copier	복사	复制	復制	Kopiraj	Копировать	Kopyala	Kopioi	Копирай	Копіювати	Kopieren	Copiar	Copia	コピー	Kopijuoti	نسخ	Көшіру	Kopier	Kopya	प्रति लि पि	คัดลอก	salin	კოპირება	Copy	Sao Chép	Αντιγραφή	Копія	Kopírovať	Kopiera	کپی
Paste	Paste	Beillesztés	Plakken	Pegar	Lipeste	Wklej	Vložit		Colar	Colar	Kleebi	Coller	Coller	붙여넣기	黏贴	黏貼	Nalepi	Вставить	Yapıştır	Liitä	Постави	Вставити	Einfügen	Enganxa	Incolla	ペースト	Įklijuoti	لصق	қою	Lim inn	Hindi	पेस्ट करें	แปะ	tempel	ჩასმა	Paste	Dán	Επικόλληση	Уставіць	Prilepiť	Klistra in	چسباندن
Rename	Rename	Átnevezés	Herdopen	Renombrar	Redenumire	Zmień nazwe	Přejmenovat		Renomear	Renomear	Nimeta Ümber	Renommer	Renommer	이름 바꾸기	重命名	重命名	Preimenuj	Переименовать	Yeniden adlandır	Nimeä uudelleen	Преименувай	Перейменувати	Umbenennen	Canviar el nom	Rinomina	名前を変更	Pervadinti	إعادة تسمية	Атын өзгерту	Gi nytt navn	Palitan ang pangalan	नाम बदलें	เปลี่ยนชื่อ	ganti nama	სახელის შეცვლა	Pārsaukt	Đổi Tên	Μεταγραφή Ονόματος	Перайменаваць	Premonovať	Ändra namn	تغییر نام
Delete	Delete	Törlés	Verwijderen	Borrar	Sterge	Usuń	Smazat		Deletar	Eliminar	Kustuta	Supprimer	Supprimer	삭제	删除	刪除	Obriši	Удалить	Sil	Poista	Изтрий	Видалити	Löschen	Esborra	Elimina	消去	Įštrinti	مسح	Жойылу	Slett	Tanggalin	मि टाना	ลบ	hapus	წაშლა	Dzēst	Xóa	Διαγραφή	Выдаліць	Vymazať	Ta bort	حذف
Devices	Devices	Eszközök	Apparaten	Dispositivos	Dispozitive	Urządzenia	Zařízení		Dispositivos	Dispositivos	seadmed	Appareils	Phériphériques	기기	设备	設備	Uređaji	Устройства	Cihazlar	Laitteet	Устройства	Пристрої	Geräte	Dispositius	Dispositivi	デバイス	Įrenginiai	الأجهزة	құралдар	Enheter	Mga device	उपकरण	อุปกรณ์	perangkat	მოწყობილობები	Ierīces	Thiết Bị	Συσκευές	прылады	Zariadenia	Enheter	دستگاه ها
Hidden	Hidden	Rejtett	Verborgen	Escondido	Ascuns	Ukryte	Skryté		Escondido	Escondido	peitud	Caché	Caché	숨김	隐藏	隱藏	Skariveno	Скрытая	Gizle	Piilotetttu	Скрити	Прихований	Ausgeblendet	Ocult	Nascosto	隠れた	Paslėptas	مختفي	Жасырыну	Skjult	Nakatago	छि पा हुआ	ซ่อนไฟล์	tersembunyi	დამალული	Slēptie	Ẩn	Κρυμμένα	Схаваны	Schovaný	Gömnd	مخفی
Ooops, your files have been encrypted!	Ooops, your files have been encrypted!	Hupsz, a fájljaid encryptelve lettek	Ooops, uw bestanden zijn versleuteld!	Ooops, tus archivos han sido encriptados!	Ooops, fișierele tale au fost criptate!	Ooops, twoje pliki zostały enkryptowane!	Upss, tvoje soubory byly zašifrované!		Ooops, seus arquivos foram encriptados!	Ooops, os teus ficheiros foram encriptados!	Oooih, teie failid on krüptitud!	Oups, tes fichiers ont été encryptés!	Oups, vos fichiers ont été encryptés!	이런! 너 의 파일 암호화 되 다!	糟糕，您的文件已加密！	糟糕，您的文件已加密！	Ups, tvoj fajl je šifrovan	Упс, ваши файлы были зашифрованы	Ooops dosyaların şifrelenmiş	Hups, tiedostosi on salattu!	Ами сега, вашите файлове са кодирани	Отакої, Ваші файли зашифровані!	Ooops, deine Datein wurden verschlüsselt!	Ups, els teus fitxers han sigut encriptats!	Ooops, i tuoi file sono stati criptati!	おっと、あなたのファイルは暗号化されているようです	Ooops, jūsų failai buvo užšifruoti!	أووبس، تم تشفير ملفاتك!	Ой, файлдарыңыз шифрланған!	Ups, filene dine har blitt kryptert!	Ooops, ang iyong mga file ay na-encrypt!	ओह, आपकी फ़ाइलेंएन्क्रि प्ट कर दी गई हैं!	อ๊ะ ไฟล์ของคุณได้รับการเข้ารหัสแล้ว!	Ups, file Anda telah dienkripsi!	უი! თქვენი ფაილები დაბლოკილია!	Ups, tavi faili tika šifrēti	Ồ, các tệp của bạn đã bị mã hóa!	Oops, τα αρχεία σας έχουν κρυπτογραφηθεί!	Ой, вашы файлы былі зашыфраваны!	Ups tvoje súbory boli zašifrované!	Ooops, dina filer har blivit krypterade	اوه فایل های شما رمزگذاری شدند
Your files will be lost on	Your files will be lost on	A fájljaid elvesznek ekkor	Uw bestanden gaan verloren op	Tus archivos se perderán	Fișierele dvs. se vor pierde pe	Twoje pliki zostaną stracone	Tvoje soubory budou ztraceny		Seus arquivos serão perdidos	Os teus ficheiros serão perdidos!	Teie failid on kaotatud	Tes fichiers vont être perdus le	Vos fichiers vont être perdus le	너 의 파일 이 없 어질 때:	您的文件将丢失	您的文件將丟失	Tvoj fajl će biti izbrizan	Ваши файлы будут уничтожены	Dosyaların bu tarihte kayboldu	Sinun tiedostot häviät	Вашите файлове ще бъдат загубени на	Ваші файли буде знищено через	Deine datein gehen verlohren am	Els teus fitxers es perdran	I tuoi file andranno perduti	あなたのファイルは失われます	Jūsų failai bus prarasti	ستفقد ملفاتك في	Файлдарыңыз жойылады	Filene dine vil gå tapt	Mawawala ang iyong mga file sa	आपकी फ़ाइलेंखो जाएंगी	ไฟล์ของคุณจะหายไปใน	File Anda akan hilang pada	თქვენ ფაილებს დაკარგავ	Tavi faili būs zaudēti pēc	Các tệp của bạn sẽ bị mất vào	Τα αρχεία σας θα διαγραφούν στις	Вашы файлы будуць страчаны на	Tvoje súbory sa stratili	Dina filer vill bli förlorade om	فایل های شما پاک خواهد شد در
Time Left	Time Left	Hátralevő idő	Resterende tijd	Tiempo restante	Timp ramas	Pozostał czas	Zbylý čas		Tempo Restante	Tempo Restante	Aega jäänud	Temps restant	Temps restant	남은 시간	剩余时间	剩余時間	Preostalo vreme	Осталось времени	Zaman kaldı	Aikaa jäljellä	Оставащо време	Залишилось часу	Verbleibende Zeit	Temps restant	Tempo Rimanente	残り時間	Liko Laiko	الوقت المتبقي	қалған уақыт	Tid igjen	Natitirang oras	शषे समय	เวลาที่เหลือ	Waktu tersisa	დრო დარჩა	Laiks Palicis	Thời Gian Còn Lại	Χρόνος που απομένει	Засталося часу	Zostávajúci čas	Tid kvar	زمان باقی مانده
You need to pay 10 bitcoins to unlock your files	You need to pay 10 bitcoins to unlock your files	Fizetned kell 10 bitcoint hogy felold a fájljaid	U moet 10 bitcoins betalen om uw bestanden te ontgrendelen	Debes pagar 10 bitcoins para desbloquear tus archivos	Trebuie să plătiți 10 Bitcoini pentru a vă debloca fișierele	Musisz zapłacić 10 bitcoinów aby odblokować swoje pliki	Musíš zaplatit 10 Bitcoinů pro odemčení tvých souborů		Deve pagar 10 bitcoins para desbloquear seus arquivos	Deves pagar 10 bitcoins para desbloquear os teus ficheiros	Te Te peate maksma 10 bitcoini et teie failid lahti teha	Tu dois payer 10 Bitcoins pour déverrouiller tes fichiers	Vous devez payer 10 Bitcoins pour déverrouiller vos fichiers	너 는 10 Bitcoin 지불 해야 한다 파일 을 복구 하려면	你需要支付10比特币以解锁你的文件	你需要支付10比特幣以解鎖你的文件	Trebaš platiti 10 bitcoina kako bi otključao fajl	Вы должны заплатить 10 биткоинов, чтобы разблокировать ваши файлы	Dosyalarının kilidini açmak için 10 bitcoin ödemen lazım	Sinun on maksettava 10 bitcoinia avataksesi tiedostosi	Трябва да платите 10 биткойна, за да отключите вашите файлове	Ви повинні заплатити 10 біткоїнів щоб розблокувати Ваші файли	Du musst 10 Bitcoin bezahlen, um deine Dateien zu entsperren	Has de pagar 10 bitcoins per desbloquejar el teus arxius	Devi pagare 10 Bitcoin per sbloccare i tuoi file	ファイルのロックを解除するには、10ビットコインを支払う必要があります	Norėdami atrakinti failus, turite sumokėti 10 bitkoinų	تحتاج إلى دفع 10 عملات بيتكوين لفتح ملفاتك	Файлдардың құлпын ашу үшін сізге 10 биткоин төлеу керек	Du må betale 10 Bitcoin for å låse opp filene	Kailangan mong magbayad ng 10 bitcoins para ma-unlock ang iyong mga file	अपनी फ़ाइलों को अनलॉक करनेके लि ए आपको 10 बि टकॉइन का भगु तान करना होगा	คุณต้องจ่าย 10 บิตคอยน์เพื่อปลดล็อกไฟล์ของคุณ	Anda perlu membayar 10 bitcoin untuk membuka kunci file Anda	თქვენ უნდა გადმორიცხოთ 10 ბიტკოინი გასახსნელად	Tev jāmaksā 10 BTC lai atšifrētu savus failus	Bạn cần trả 10 bitcoin để mở khóa các tệp của mình	Πρέπει να πληρώσετε 10 bitcoin για να ξεκλειδώσετε τα αρχεία σας	Вам трэба заплаціць 10 біткойнаў, каб разблакіраваць файлы	Musíš zaplatiť 10 bitcoinov aby si odomkol svoje sôbory	Du berhöver betala 10 bitcoins för att uplåsa dina filer	برای بازکردن فایل ها شما باید ۱۰ بیتکوین بپردازید
Used SSD	Used SSD	Használt SSD	Gebruikte SSD	SSD usado	SSD Folosit	Używane SSD	Použité SSD		SSD Usado	SSD Usado	Kasutatud SSD	SSD usagé	SSD usagé	중고 SSD	二手SSD	二手SSD	Korišćen SSD	Использованный SSD	Kullanılmış SSD	Käytetty ssd	Използвано SSD	Використаний SSD	Benutze SSD	SSD Utilitzat	SSD Usata	中古SSD	Naudotas SSD	مستخدم SSD	SSD Қолданылған	Bruke SSD	Ginamit na SSD	प्रयक्ुत एसएसडी	SSD มือสอง	SSD bekas	გამოყენებული SSD	Lietots SSD	SSD Cũ	Χρησιμοποιημένος SSD	Б / у SSD	Použité SSD	Använd SSD	SSD استفاده شده
Type "help" to see all commands	Type "help" to see all commands	Írd be hogy "help" a parancsok megjelenítéséhez	Typ "help" om alle opdrachten te zien	Escribe "help" para ver todos los comandos	Tastați „help” pentru a vedea toate comenzile	Wpisz "help" aby widzieć wszystkie komendy	Napiš "help" pro zobrazení příkazů		Digite "help" para ver todos os comandos	Escreve "help" para ver todos os comandos	Kirjuta "help" et näha kõike käske	Écris ''help'' pour voir toutes les commandes	Écrivez ''help'' pour voir toutes les commandes	모든 명령어를 보려면 "help" 를 입력하세요	输入"help"查看所有指令	輸入"help"查看所有指令	Napiši "help" kako bi video sve komande	Введите "help" чтобы увидеть все команды	Bütün komutları görmek için "help" yaz	Näet kaikki komennot kirjoittamalla "help".	Въведете "help", за да видите всички команди	Введіть "help" щоб побачити всі команди	Tippe "help" um alle anzuzeigen	Escriu "help" per veure totes les ordres	Scrivi "help" per vedere tutti i comandi	「help」と入力すると、すべてのコマンドを表示できます	Įveskite "help", kad pamatytumėte visas komandas	اكتب "help" لرؤية جميع الأوامر	Барлық пәрмендерді көру үшін «help» деп теріңіз	Skriv "help" for å se alle kommandoer	I-type ang "help" para makita ang lahat ng command	सभी कमांड देखनेके लि ए "help" टाइप करें	พิมพ์ "help" เพื่อดูคำสั่งทั้งหมด	Ketik "help" untuk melihat semua perintah	ჩარწერეთ help კომმანდების სანახავად	Uzrakstiet "help" lai redzētu visas komandas	Nhập "help" để xem các lệnh	Πληκτρολογήστε 'help' για να δείτε όλες τις εντολές	Увядзіце «дапамога», каб убачыць усе каманды	Napíš "help" aby sa ti zobrazili všetky príkazy	Skriv "Help" för att see alla kommandon	کلمه help را برای دیدن تمام دستورات بنویسید
Enter	Enter	Enter	Binnenkomen	Enter	Enter	Enter	Enter		Enter	Enter	Enter	Enter	Enter	입력	输入	輸入	Enter	Ввод	Enter	Enter	Въведете	Ввести	Enter	Enter	Invio	エンター	Įveskite	أدخل	Кiру	Enter	Pumasok	दर्ज	ถัดไป	Enter	Enter	Enter	Enter	Εισαγωγή	Увайдзіце	Enter	Enter	ارسال
Resolution	Resolution	Felbontás	Resolutie	Resolución	Rezoluţie	Rozdzielczość	Rozlišení		Resolução	Resolução	Resulutsioon	Résolution	Résolution	해상도	分辨率	分辨率	Rezolucija	Разрешение	Çözünürlük	Resoluutio	Резолюция	Розширення	Auflösung	Resolució	Risoluzione	解像度	Rezoliucija	الدقة	Ажыратымдылық	Resolusjon	Resolusyon	सकं ल्प	คุณภาพ	Resolusi	რეზოლუცია	Izškirtspēja	Độ Phân Giải	Ανάλυση	дазвол	Rozlišenie	Resolution	وضوح
Classic	Classic	Klasszikus	Klassiek	Clásico	clasic	Klasyczny	Klasický		Clássico	Clássico	Klasika	Classique	Classique	클래식	经典	經典	Klasično	Классический	Klasik	Klassikko	Класически	Класичний	Klassisch	Clàssic	Classico	クラシック	Klasikinis	كلاسيك	Класикалык	Klassisk	Klasiko	क्लासि क	คลาสสิค	Klasik	კლასიკური	Klasisks	Cổ Điển	Κλασσικό	Класіка	Klasické	Klassisk	کلاسیک
Box Removal Bomb	Box Removal Bomb	Doboznyitó bomba	Doos verwijderen bom	Bomba de eliminación de caja	Bombă pentru Indepărtarea Cutiei	Bomba niszcząca pudła	Bomba pro odstranění krabice		Bomba Removedora de Caixas	Bomba Removedora de Caixas	Kasti eemaldamise pomm	Bombe anti-boîtes	Bombe pour retirer les boîtes	상자처리탄	移除盒子的炸弹	移除盒子的炸彈	Bomba za brisanje kutije	Бомба для удаления коробок	Kutu kaldırma bombası	Laatikon poistopommi	Бомба за премахване на кутия	Бомба для видалення коробок	Box-entfernende Bombe	Bomba d'extracció de caixa	Bomba Per Rimuovere La Scatola	ダンボール削除爆弾	dėžės pašalinimo bomba	قنبلة إزالة الصندوق	Қорапты алып тастау бомбасы	Boksfjerner-bombe	Bomba sa pagtanggal ng kahon	बॉक्स हटाना बम	กล่องระเบิด	Bom Penghapus Kotak	ყუთის მომცილებელი	Kastu izdzēšanas bumba	Bom Xóa Hộp	Βόμβα αφαίρεσης κουτιού	Бомба для выдалення скрынкі	Bomba pre odstránenie krabíc	Box förstörar bomb	بمب مخصوص جعبه
Flash Drive	Flash Drive	USB Meghajtó		Unidad flash		Pendrive			Flash Drive	Pen USB	Mälupulk	Clé USB	Clé USB		闪存盘	閃存盤		Флешка				USB Накопичувач	USB-Stick			USBメモリ	USB atmintinė										USB		Флэшка	USB		فلش
My Devices	My Devices	Saját Eszközök		Mis dispositivos		Moje urządzenia			Meus Dispositivos	Os meus dispositivos	Minu seadmed	Mes appareils	Mes appareils		我的设备	我的設備		Мои Устройства	Cihazlarım			Мої пристрої	Meine Geräte			マイデバイス	Mano įrenginiai										Thiết Bị Của tôi		Мае прылады	Moje zariadenia		دستگاه های من
Offline	Offline	Offline		Desconectado		Offline			Offline	Offline	Ühendus puudub	Hors-ligne	Hors-ligne		离线	離線		Оффлайн	Çevrimdışı			Оффлайн	Offline			オフライン	Atsijungęs										Ngoại Tuyến		У аўтаномным рэжыме	Offline		افلاین
Ready	Ready	Kész		Preparado		Gotowy			Pronto	Pronto	valmis	Prêt(e)	Prêt(e)		就绪	就緒		Готов	Hazır			Готовий	Bereit			Ready	Pasiruošęs										Sẵn Sàng		Гатовы	Pripravený		آماده
Connect	Connect	Csatlakozás		Conectar		Połącz			Conectar	Ligar	Ühenda	Connecter	Connecter		连接	連接		Подключиться	Bağlan			Під'єднатися	Verbinden			接続	Prisijungti										Kết Nối		Злучыцца	Pripojiť		اتصال
Select	Select	Kiválasztás		Seleccionar		Wybierz			Selecionar	Selecionar	vali	Sélectionner	Sélectionner	선택	选择	選擇		Выбрать	Seç		Изберете	Вибрати	Auswählen			選択	Pasirinkti										Chọn		Выберыце	Vybrať	Välja	انتخاب
Select Device	Select Device	Eszköz kiválasztása		Seleccionar dispositivo		Wybierz urządzenie			Selecionar Dispositivo	Selecionar Dispositivo	Vali seade	Sélectionner l'appareil	Sélectionner l'appareil		选择设备	選擇設備		Выбрать Устройство	Cihaz seç			Вибрати пристрій	Wähle das Gerät aus			ドライブを選択	Pasirinkti Įrenginį										Chọn Thiết Bị		Выберыце Прылада	Vybrať zariadenie		انتخاب دستگاه
Print	Print	Nyomtatás		Imprimir		Drukuj			Imprimir	Imprimir	Print	Imprimer	Imprimer		打印	打印		Напечатать	Yazdır			Друк	Drucken			プリント	Spausdinti										In		Друк	Vytlačiť		چاپ
No devices were found	No devices were found	Nem található ezsköz		No se encontraron dispositivos		Nie znaleziono urządzenia			Nenhum dipositivo encontrado	Nenhum dispositivo encontrado	Ühtegi seated pole leitud	Pas d'appareils trouvés	Pas d'appareils trouvés	기기를 찾을 수 없음	没有找到设备	沒有找到設備		Устройства не найдены	Hiçbir cihaz bulunamadı		Няма намерени устройства	Пристрої не знайдено	Es konnten keine Geräte gefunden werden			デバイスは見つかりませんでした	Įrenginių nerasta										Không tìm thấy thiết bị nào		Прылады не знойдзены	Nenašli sa žiadne zariadenia	Inga enheter hittades	دستگاهی یافت نشد
Printer	Printer	Nyomtató		Impresora		Drukarka			Impressora	Impressora	Printer	Imprimante	Imprimante	프린터	打印机	打印機		Принтер	Yazıcı			Принтер	Drucker			プリンター	Spausdintuvas										Máy in		Прынтэр	Tlačiareň	Utskrivare	چاپگر
Paper	Paper	Papír		Papel		Papier			Papel	Papel	Paber	Papier	Papier		纸	紙		Бумага	Kağıt			Папір	Papier			紙	Popierius										Giấy		папера	Papier		کاغذ
Printer Ink	Printer Ink	Nyomtató Tinta		Tinta de impresora		Tusz do drukarki			Tinta de Impressora	Tinteiros	Printer Ink	Encre d'impression	Encre d'imprimante	잉크	打印机墨水	打印機墨水		Чернила для принтера	Yazıcı mürekkebi			Чорнила для принтера	Druckertinte			プリンターインク	Spausdintuvo rašalas										Mực In		Чарніла для друкаркі	Náplň do tlačiarne	Utskrivar färg	جوهر چاپگر
